Product Name,Product Link,Product Price
Fresh Boran Beef Mince Standard,https://www.carrefour.ke/mafken/en/minced-meat/fresh-boran-beef-mince-standard-pkg/p/100528,349
Fresh Boran Beef Mince Low Fat,https://www.carrefour.ke/mafken/en/minced-meat/fresh-boran-beef-mince-low-fat-pkg/p/29703,499
Fresh Heifer Beef Meat Boneless,https://www.carrefour.ke/mafken/en/local-beef/fresh-heifer-beef-meat-b-less-pkg/p/44400,399
Fresh Boran Beef Cubes Lowfat,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-cubes-lowfat-pkg/p/29616,384
Fresh Boran Beef Shank,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-shank-pkg/p/29618,399
Fresh Boran Beef Chuck Bone In,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-chuck-bone-in-pkg/p/29609,274
Fresh Boran Beef Rump,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-rump-pkg/p/100521,599
Fresh Boran Beef Meat Bone In,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-meat-b-in-pkg/p/29634,274
Fresh Heifer Beef Meat Bone In,https://www.carrefour.ke/mafken/en/local-beef/fresh-heifer-beef-meat-bone-in-pkg/p/29607,274
Fresh Boran Beef T Bone Steak,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-t-bone-steak-pkg/p/100523,499
Fresh Boran Beef Cubes Lowfat Family Pack,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-cubes-lowfat-fp/p/29709,838
Fresh Boran Beef Topside,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-topside-pkg/p/100526,599
Fresh Boran Beef Bones,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-bones-pkg/p/3729,249
Fresh Boran Beef Short Ribs,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-short-ribs-pkg/p/29619,274
Fresh Boran Beef Sirloin,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-sirloin-pkg/p/100522,574
Fresh Boran Beef Stroganoff,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-stroganoff-pkg/p/29624,499
Fresh Boran Beef Brisket,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-brisket-pkg/p/87287,274
Fresh Boran Beef Cubes Bone In,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-cubes-bone-in-pkg/p/98427,274
Fresh Boran Beef Chuck Boneless,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-chuck-b-less-pkg/p/100517,449
Fresh Heifer Beef Brisket,https://www.carrefour.ke/mafken/en/local-beef/fresh-heifer-beef-brisket-pkg/p/211361,254
Fresh Boran Beef Blade Bone In,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-blade-bone-in-pkg/p/98428,274
South African  Beef Ribeye Steak,https://www.carrefour.ke/mafken/en/south-african-beef/sa-beef-ribeye-steak-pkg/p/214588,2349
Fresh Boran Beef Boneless,https://www.carrefour.ke/mafken/en/local-beef/fresh-boran-beef-boneless-pkg/p/29635,449
Fresh Beef Meatball,https://www.carrefour.ke/mafken/en/prepared-beef/fresh-beef-meatball-pkg/p/51744,274
Fresh Chicken Whole X2 Family pack,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-whole-x2-fp/p/29708,1140
Fresh Chicken Thigh Boneless,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-thigh-b-less-pkg/p/100534,599
Fresh Chicken Leg Quarter,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-leg-quarter-pkg/p/35119,399
Fresh Chicken Breast Boneless,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-breast-boneless-pkg/p/100529,439
Fresh Chicken Leg,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-leg-bone-in-pkg/p/100531,434
Fresh Chicken Whole,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-whole-pkg/p/100535,681
Fresh Chicken Drumstick,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-drumstick-pkg/p/100530,434
Fresh Chicken Breast Boneless Family pack,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-breast-boneless-fp/p/29721,948
Fresh Chicken Mince,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-mince-by-kg/p/156694,294
Fresh Chicken Thigh Quarter,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-thigh-quarter-pkg/p/35120,399
Fresh Chicken Wings,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-wings-pkg/p/100536,374
Fresh Chicken Liver,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-liver-pkg/p/100532,214
Kenchic Fresh Chicken Burgers 400g,https://www.carrefour.ke/mafken/en/drumstick/kenchic-fresh-chicken-burgers-400g/p/20645,469
Fresh Chicken Thigh Bone In Family pack,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-thigh-bone-in-fp/p/29722,970
Fresh Chicken Mix,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-mix-pkg/p/235600,119
Fresh Chicken Breast Quarter Family pack,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-breast-quarter-fp/p/29724,702
Roasted Chicken Lemon Herbs,https://www.carrefour.ke/mafken/en/whole-chicken/roasted-chicken-lemon-herbs-pc/p/7644,899
Kenchic Fresh Chicken Wings 650g,https://www.carrefour.ke/mafken/en/chicken-wings/kenchic-fresh-chicken-wings-650g/p/20642,834
Fresh Chicken Stroganoff,https://www.carrefour.ke/mafken/en/whole-chicken/fresh-chicken-stroganoff-pkg/p/156696,499
Fresh Goat Ribs,https://www.carrefour.ke/mafken/en/goat/fresh-goat-ribs-pkg/p/29655,299
Fresh Goat Shoulder,https://www.carrefour.ke/mafken/en/goat/fresh-goat-shoulder-pkg/p/29656,349
Fresh Goat Short loin,https://www.carrefour.ke/mafken/en/goat/fresh-goat-shortloin-pkg/p/29657,349
Fresh Lamb Chops,https://www.carrefour.ke/mafken/en/locally-slaughtered-lamb/fresh-lamb-chops-pkg/p/13700,799
Fresh Goat Carcass 13-15 Kg.,https://www.carrefour.ke/mafken/en/goat/fresh-goat-carcass-13-15-kg-/p/100537,12990
Fresh Goat Leg Bone In,https://www.carrefour.ke/mafken/en/goat/fresh-goat-leg-bone-in-pkg/p/29659,1198
Fresh Goat Neck,https://www.carrefour.ke/mafken/en/goat/fresh-goat-neck-pkg/p/29658,299
Fresh Lamb Shoulder,https://www.carrefour.ke/mafken/en/locally-slaughtered-lamb/fresh-lamb-shoulder-pkg/p/29641,1138
Fresh Lamb Ribs,https://www.carrefour.ke/mafken/en/locally-slaughtered-lamb/fresh-lamb-ribs-pkg/p/29646,374
Fresh Merino Lamb Neck,https://www.carrefour.ke/mafken/en/local-arabic-lamb/merino-lamb-neck-pkg/p/29648,549
Fresh Lamb Leg Bone In,https://www.carrefour.ke/mafken/en/locally-slaughtered-lamb/fresh-lamb-leg-b-in-pkg/p/29652,1498
Fresh Goat Shank,https://www.carrefour.ke/mafken/en/goat/fresh-goat-shank-pkg/p/29715,374
Dryaged Merino Lamb Forequarter,https://www.carrefour.ke/mafken/en/local-arabic-lamb/merino-lamb-forequarter/p/29565,649
Dryaged Merino Lamb Rack,https://www.carrefour.ke/mafken/en/local-arabic-lamb/merino-lamb-rack-pkg/p/29651,999
Fresh Lamb Carcass 1315Kg,https://www.carrefour.ke/mafken/en/locally-slaughtered-lamb/fresh-lamb-carcass-13-15kg/p/100539,13999
Fresh Goat Carcass,https://www.carrefour.ke/mafken/en/goat/fresh-goat-carcass-pkg/p/98512,8990
Fresh Goat Liver,https://www.carrefour.ke/mafken/en/lamb-offals/fresh-goat-liver-pkg/p/3751,499
Fresh Beef Tail,https://www.carrefour.ke/mafken/en/beef-offals/fresh-beef-tail-pkg/p/29626,349
Fresh Goat Liver  Pre Pack,https://www.carrefour.ke/mafken/en/lamb-offals/fresh-goat-liver-pp/p/3750,499
Fresh Turkey Whole,https://www.carrefour.ke/mafken/en/whole-turkey/fresh-turkey-whole-pkg/p/29729,9594
Fresh Salmon Fillet,https://www.carrefour.ke/mafken/en/fish/fresh-salmon-fillet-pkg/p/181164,2849
Fresh Tilapia Fillet,https://www.carrefour.ke/mafken/en/fish/fresh-tilapia-fillet-wild-pkg/p/181186,999
Fresh Nile Perch Fillet,https://www.carrefour.ke/mafken/en/fish/fresh-nile-perch-fillet-pkg/p/181184,999
Fresh Nile Perch Steak,https://www.carrefour.ke/mafken/en/fish/fresh-nile-perch-steak-pkg/p/181185,799
FROZEN COOKED TILAPIA 300GR,https://www.carrefour.ke/mafken/en/fish/frozen-cooked-tilapia-300gr/p/225264,459
Fresh Salmon Steak,https://www.carrefour.ke/mafken/en/fish/fresh-salmon-steak-pkg/p/181165,2699
Frozen Tilapia Fish Fillet,https://www.carrefour.ke/mafken/en/fish/frozen-tilapia-fillet-pkg/p/181189,899
Fresh Tilapia Steak,https://www.carrefour.ke/mafken/en/fish/fresh-tilapia-steak-wild-pkg/p/185553,799
Frozen Nile Perch Fillet,https://www.carrefour.ke/mafken/en/fish/frozen-nile-perch-fillet-pkg/p/181188,749
