No.,Product,Link,Price
1,Fresh Fri Vegetable Oil 5L,https://naivas.onlinehttps://naivas.online/fresh-fri-vegetable-oil-5l,"KES 1,600"
2,Avena Vegetable Oil 5L,https://naivas.onlinehttps://naivas.online/avena-vegetable-oil-5l,"KES 1,610"
3,Rina Vegetable Oil 5L,https://naivas.onlinehttps://naivas.online/rina-vegetable-oil-5l,"KES 1,855"
4,Chipsy Plus 3 Cooking Fat Pure Yellow 1Kg,https://naivas.onlinehttps://naivas.online/chipsy-plus-3-cooking-fat-pure-yellow-1kg,KES 380
5,Chipsy Plus 3 Cooking Fat Pure Yellow 500g,https://naivas.onlinehttps://naivas.online/chipsy-plus-3-cooking-fat-pure-yellow-500g,KES 195
6,Santa Maria Extra Virgin Olive Oil 250Ml,https://naivas.onlinehttps://naivas.online/santa-maria-extra-virgin-olive-oil-250ml,KES 925
7,Santa Maria Extra Virgin Olive Oil 100Ml,https://naivas.onlinehttps://naivas.online/santa-maria-extra-virgin-olive-oil-100ml,KES 440
8,Kasuku Pure White Cooking Fat Cholesterol Free 2Kg,https://naivas.onlinehttps://naivas.online/kasuku-pure-white-cooking-fat-cholesterol-free-2kg,KES 845
9,Kimbo Cooking Vegetable Fat 2Kg,https://naivas.onlinehttps://naivas.online/kimbo-cooking-vegetable-fat-2kg,KES 740
10,Kasuku Pure White Cooking Fat Cholesterol Free 1Kg,https://naivas.onlinehttps://naivas.online/kasuku-pure-white-cooking-fat-cholesterol-free-1kg,KES 430
11,Tily Pure White Cooking Fat 1Kg,https://naivas.onlinehttps://naivas.online/tily-pure-white-cooking-fat-1kg,KES 425
12,Kimbo Cooking Vegetable Fat 1Kg,https://naivas.onlinehttps://naivas.online/kimbo-cooking-vegetable-fat-1kg,KES 380
13,Kasuku Pure White Cooking Fat Cholesterol Free 500g,https://naivas.onlinehttps://naivas.online/kasuku-pure-white-cooking-fat-cholesterol-free-500g,KES 220
14,Tily Pure White Cooking Fat 500g,https://naivas.onlinehttps://naivas.online/tily-pure-white-cooking-fat-500g,KES 215
15,Kimbo Cooking Vegetable Fat 500g,https://naivas.onlinehttps://naivas.online/kimbo-cooking-vegetable-fat-500g,KES 195
16,Pep Tomato Sauce 1Kg,https://naivas.onlinehttps://naivas.online/pep-tomato-sauce-1kg,KES 155
17,Ken Tomato Sauce 1Kg,https://naivas.onlinehttps://naivas.online/ken-tomato-sauce-1kg,KES 205
18,American garden Tomato Ketchup 567g Squeezy,https://naivas.onlinehttps://naivas.online/american-garden-tomato-ketchup-567g-squeezy,KES 639
19,Kapueti Tomato Ketchup 700g,https://naivas.onlinehttps://naivas.online/kapueti-tomato-ketchup-700g,KES 225
20,Kaputei Tomato Ketchup 400g,https://naivas.onlinehttps://naivas.online/kaputei-tomato-ketchup-400g,KES 160
21,Zesta Hot Ketchup 400g,https://naivas.onlinehttps://naivas.online/zesta-hot-ketchup-400g,KES 189
22,Zesta Tomato Ketchup 400g,https://naivas.onlinehttps://naivas.online/zesta-tomato-ketchup-400g,KES 159
23,Zesta Tomato Ketchup 700g,https://naivas.onlinehttps://naivas.online/zesta-tomato-ketchup-700g,KES 219
24,Clovers Chilli Sauce 5L,https://naivas.onlinehttps://naivas.online/clovers-chilli-sauce-5l,KES 475
25,Clovers Chilli Sauce 250Gm,https://naivas.onlinehttps://naivas.online/clovers-chilli-sauce-250g,KES 65
26,Kara Uht Coconut Milk Classic 400ml,https://naivas.onlinehttps://naivas.online/kara-uht-coconut-milk-classic-400ml,KES 350
27,Kara Uht Coconut Cream 200ml,https://naivas.onlinehttps://naivas.online/kara-uht-coconut-cream-200ml,KES 240
28,Kara Uht Coconut Milk Classic 200ml,https://naivas.onlinehttps://naivas.online/kara-uht-coconut-milk-classic-200ml,KES 200
29,Kara Coconut Cream Powder 50g,https://naivas.onlinehttps://naivas.online/kara-coconut-cream-powder-50g,KES 155
30,Kara Uht Coconut Cream 65ml,https://naivas.onlinehttps://naivas.online/kara-uht-coconut-cream-65ml,KES 75
31,Cadbury Fruit & Nut 150g,https://naivas.onlinehttps://naivas.online/cadbury-fruit-nut-150g,KES 470
32,Cadbury Top Deck 150g,https://naivas.onlinehttps://naivas.online/cadbury-top-deck-150g,KES 530
33,Cadbury Dairy Whole Nut 150g,https://naivas.onlinehttps://naivas.online/cadbury-dairy-whole-nut-150g,KES 530
34,Cadbury Dairy Milk 150g,https://naivas.onlinehttps://naivas.online/cadbury-dairy-milk-150g,KES 470
35,Naivas Barbeque Crisps 30G,https://naivas.onlinehttps://naivas.online/naivas-potato-crisps-barbeque-30g,KES 55
36,Naivas Gift Voucher,https://naivas.onlinehttps://naivas.online/naivas-gift-voucher2,"KES 10,000"
37,McVitie's Digestive Milk Chocolate 200g,https://naivas.onlinehttps://naivas.online/mcvitie-s-digestive-milk-chocolate-200g,KES 475
38,McVitie's HobNobs Milk Chocolate 300g,https://naivas.onlinehttps://naivas.online/mcvitie-s-hobnobs-milk-chocolate-300g,KES 450
39,Amigos Cheese&Onion Corn 100G,https://naivas.onlinehttps://naivas.online/amigos-corn-chips-cheese-onion-100g,KES 59
40,Amigos Salted Corn Chips 20Gm,https://naivas.onlinehttps://naivas.online/amigos-corn-chips-salt-vinegar-20g,KES 15
41,Amigos Potato Crisps Salted 400g,https://naivas.onlinehttps://naivas.online/amigos-potato-crisps-salted-400g,KES 387
42,M & M'S Chocolate 45g,https://naivas.onlinehttps://naivas.online/m-ms-chocolate-45g,KES 225
43,Maltesers 37g,https://naivas.onlinehttps://naivas.online/maltesers-37g,KES 225
44,Manji Choco Chip Cookies 500g,https://naivas.onlinehttps://naivas.online/manji-choco-chip-cookies-500g,KES 500
45,Manjiginger Cookies 500g,https://naivas.onlinehttps://naivas.online/manjiginger-cookies-500g,KES 400
46,Manji Coconut Cookies 500g,https://naivas.onlinehttps://naivas.online/manji-coconut-cookies-500g,KES 400
47,Nuvita Digestive Biscuits 400g,https://naivas.onlinehttps://naivas.online/nuvita-digestive-biscuits-400g,KES 275
48,Manji Digestive 200g,https://naivas.onlinehttps://naivas.online/manji-digestive-200g,KES 200
49,Nuvita Oat Digestive 200g,https://naivas.onlinehttps://naivas.online/nuvita-oat-digestive-200g,KES 198
50,Nuvita Digestive 200g,https://naivas.onlinehttps://naivas.online/nuvita-digestive-200g,KES 155
51,Nuvita Nice Biscuit 200g,https://naivas.onlinehttps://naivas.online/nuvita-nice-biscuit-200g,KES 85
52,Oreo Original Biscuit 57g,https://naivas.onlinehttps://naivas.online/oreo-original-biscuit-57g,KES 75
53,Twix 50g,https://naivas.onlinehttps://naivas.online/twix-50g,KES 185
54,Cadbury Lunch Bar Dream 48g,https://naivas.onlinehttps://naivas.online/cadbury-lunch-bar-dream-48g,KES 179
55,Lunch Bar 48g,https://naivas.onlinehttps://naivas.online/lunch-bar-48g,KES 159
56,Cadbury Fruit &Nut 37g,https://naivas.onlinehttps://naivas.online/cadbury-fruit-nut-37g,KES 140
57,Cadbury Dairy Milk 37g,https://naivas.onlinehttps://naivas.online/cadbury-dairy-milk-37g,KES 140
58,Cadbury Hazel Nut37g,https://naivas.onlinehttps://naivas.online/cadbury-hazel-nut37g,KES 140
59,Lindt Lindor Irrestibly Smooth Assorted 200g,https://naivas.onlinehttps://naivas.online/lindt-lindor-irrestibly-smooth-assorted-200g,"KES 2,095"
60,Dairyland Chocolart White With Cookies 40g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-white-with-cookies-50g,KES 120
61,Dairyland Chocolart Almond & Raisin 40g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-almond-raisin-50g,KES 95
62,Dairyland Chocolart Milk & Cookies 40g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-milk-cookies-50g,KES 95
63,Dairyland Chocolart Orange Crunch 40g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-orange-crunch-50g,KES 95
64,Dairyland Chocolart Mint Crunch 40g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-mint-crunch-50g,KES 120
65,Dairyland Chocolart Real Milk 40g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-real-milk-50g,KES 120
66,Confini Assorted Dusted Belts 170g,https://naivas.onlinehttps://naivas.online/confini-assorted-dusted-belts-170g,KES 275
67,Confini Assorted Sour Belts 170g,https://naivas.onlinehttps://naivas.online/confini-assorted-sour-belts-170g,KES 275
68,Kenafric Chocolate Creamy Yoghurt Lollipops 50Pieces,https://naivas.onlinehttps://naivas.online/kenafric-chocolate-creamy-yoghurt-lollipops-50pieces,KES 200
69,Docile Maxmallows Twist Color 50g,https://naivas.onlinehttps://naivas.online/docile-maxmallows-twist-color-50g,KES 195
70,Confini Granny Smith Green Apple 75g,https://naivas.onlinehttps://naivas.online/confini-granny-smith-green-apple-75g,KES 150
71,Confini Blueberry Blues 75g,https://naivas.onlinehttps://naivas.online/confini-blueberry-blues-75g,KES 150
72,Lotto Butters Cotch Toffee 80Pcs,https://naivas.onlinehttps://naivas.online/lotto-butters-cotch-toffee-80pcs,KES 65
73,Lotto Choco Cream Toffee 80Pcs,https://naivas.onlinehttps://naivas.online/lotto-choco-cream-toffee-80pcs,KES 65
74,Fresh Cool Watermelon Gums 12Tabs,https://naivas.onlinehttps://naivas.online/fresh-active-chewing-gum-watermelon-168g,KES 50
75,Fresh Peppermint Gums 12Tabs,https://naivas.onlinehttps://naivas.online/fresh-active-chewing-gum-mint-168g,KES 50
76,Wow Sugared 500g,https://naivas.onlinehttps://naivas.online/wow-sugared-500g,KES 210
77,Elbbin M/Grain Snacks Chocolate 50G,https://naivas.onlinehttps://naivas.online/elbbin-multigrain-snacks-chocolate-50g,KES 70
78,Elbbin Nibble Multigrain Snacks Chocolate 30G,https://naivas.onlinehttps://naivas.online/elbbin-multigrain-snacks-chocolate-30g,KES 50
79,Elbbin P/Chipsticks Cheese Burger 30G,https://naivas.onlinehttps://naivas.online/elbbin-potato-chipsticks-cheese-burger-30g,KES 50
80,Elbbin P/Chipsticks Tomato Ketchup 30G,https://naivas.onlinehttps://naivas.online/elbbin-potato-chipsticks-tomato-ketchup-30g,KES 50
81,Elbbin P/Chipsticks Salt&Vinegar 30G,https://naivas.onlinehttps://naivas.online/elbbin-potato-chipsticks-salt-vinegar-30g,KES 50
82,Manji Nice Budget Pack 1Kg,https://naivas.onlinehttps://naivas.online/manji-nice-budget-pack-1kg,KES 500
83,Nuvita Digestive Biscuit 1Kg,https://naivas.onlinehttps://naivas.online/nuvita-digestive-biscuit-1kg,KES 525
84,Wow Sugared 100g,https://naivas.onlinehttps://naivas.online/wow-sugared-100g,KES 72
85,Cadbury Cashew+ Coconut 80g,https://naivas.onlinehttps://naivas.online/cadbury-cashew--coconut-80g,KES 290
86,Cadbury Oreo Original 52.5g,https://naivas.onlinehttps://naivas.online/cadbury-oreo-original-152g,KES 69
87,Oreo Golden Slug 128g,https://naivas.onlinehttps://naivas.online/oreo-golden-cream-152g,KES 175
88,Oreo Cookies Choco Creme 137g,https://naivas.onlinehttps://naivas.online/oreo-cookies-choco-creme-137g,KES 175
89,Nuvita Vitamilk Biscuit 60x5,https://naivas.onlinehttps://naivas.online/nuvita-vitamilk-biscuit-60*5,KES 290
90,Nuvita Sunbix Biscuit 60x5,https://naivas.onlinehttps://naivas.online/nuvita-sunbix-biscuit-60*5,KES 290
91,Nuvita Short Bread Regular 200g,https://naivas.onlinehttps://naivas.online/nuvita-short-bread-regular-200g,KES 180
